HD,Vmag,U-B,B-V,V-R,R-I,V-Rc,Rc-Ic,u_mag,g_mag,r_mag,i_mag,z_mag,Star Name,Identity,SAO,FK5,Magnitude,Spectral class,pm_RA,pm_Dec,RA,Dec
112300,3.38,1.79,1.59,1.53,1.33,1.01,1.24,7.71,4.16,2.74,1.70,1.13,Auva,Delta Virginis,119674,484,3.38,M3+III,-0.469,-0.054,193.9008692,3.3974703
214923,3.40,-0.24,-0.09,-0.04,-0.07,-0.04,-0.04,4.06,3.26,3.56,3.82,4.02,Homam,Zeta Pegasi,108103,855,3.4,B8V,0.08,-0.013,340.3655500,10.8312889
11443,,,,,,,,,,,,,Mothallah,Alpha Trianguli,74996,64,3.41,F6IV,0.011,-0.235,28.2705000,29.5788833
4614,,,,,,,,,,,,,Achird,Eta Cassiopeiae,21732,,3.44,F9V+dM0,1.1,-0.529,12.2750000,57.8158333
89025,3.44,0.19,0.31,0.31,0.19,0.19,0.19,4.90,3.52,3.41,3.44,3.49,Adhafera,Zeta Leonis,81265,384,3.44,F0III,0.018,-0.007,154.1725667,23.4173117
174638,,,,,,,,,,,,,Shelyak,Beta Lyrae,67451,705,3.45,B8IIpe,0.003,-0.003,282.5200000,33.3627833
89021,3.45,0.06,0.03,0.08,-0.01,0.03,0.00,4.58,3.37,3.55,3.77,3.94,Tania Borealis,Lambda Ursae Majoris,43268,383,3.45,A2IV,-0.164,-0.038,154.2740953,42.9143558
16970,3.47,0.07,0.09,0.11,0.04,0.05,0.05,4.65,3.42,3.55,3.72,3.85,Kaffaljidhm,Gamma Ceti,110707,,3.47,A3V,-0.142,-0.152,40.8251628,3.2358164
156014,,,,,,,,,,,,,Rasalgethi,Alpha Herculis,102680,,3.48,M5Ib-II,-0.006,0.036,258.6620000,14.3902833
216131,3.48,0.68,0.94,0.68,0.47,0.48,0.43,5.95,3.90,3.19,2.98,2.88,Sadalbari,Mu Pegasi,90816,862,3.48,G8+III,0.147,-0.042,342.5008047,24.6015828
