Star Name,Identity,SAO,HD,FK5,Magnitude,Spectral class,RA,Dec,pm_RA,pm_Dec
Procyon,Alpha Canis Minoris,115756,61421,291,0.38,F5IV-V,114.82549999999999,5.225,-0.71,-1.023
Propus,Eta Geminorum,78135,42995,,3.28,M3III,93.71924999999999,22.506666666666668,-0.068,-0.012
Proxima,Alpha Centauri,0,128621,,1.33,K1V,219.90049999999997,-60.83555,-3.646,0.7
Pulcherrima,Epsilon Bodtis,83500,129989,,2.7,K0-II-III,221.24674999999996,27.074166666666667,-0.049,0.021
Rana,Delta Eridani,130686,23249,135,3.54,K0+IV,55.812,-9.763333333333334,-0.092,0.745
Rasalas,Mu Leonis,81064,85503,371,3.88,K2IIICN1Ca1,148.19074999999998,26.00695,-0.216,-0.056
Rasalgethi,Alpha Herculis,102680,156014,,3.48,M5Ib-II,258.662,14.390283333333333,-0.006,0.036
Rasalhague,Alpha Ophiuchi,102932,159561,656,2.08,A5III,263.73374999999993,12.56,0.12,-0.226
Rastaban,Beta Draconis,30429,159181,653,2.79,G2Ib-IIa,262.60825,52.301383333333334,-0.016,0.015
Regor,Gamma Velorum,219504,68273,309,1.78,WC8+O9I,122.38324999999999,-47.336666666666666,-0.004,0.006
Regulus,Alpha Leonis,98967,87901,380,1.35,B7V,152.09299999999996,11.967216666666667,-0.248,0.006
Rigel,Beta Orionis,131907,34085,194,0.12,B8Ia:,78.63449999999999,-8.201666666666666,0.0,-0.001
Rigilkent,Alpha Centauri,252838,128620,538,-0.01,G2V,219.87449999999998,-60.83528333333334,-3.642,0.699
Risha,Alpha Piscium,110291,12447,,4.33,A0pSiSr,30.51175,2.7636166666666666,0.033,-0.005
Rotanev,Beta Delphini,106316,196524,,3.63,F5IV,309.38749999999993,14.595283333333333,0.113,-0.033
Rukbah,Delta Cassiopeiae,22268,8538,48,2.68,A5III-IV,21.45425,60.235283333333335,0.297,-0.051
Rukbat,Alpha Sagittarii,229659,181869,728,3.97,B8V,290.97175,-40.61611666666667,0.03,-0.123
Sabik,Eta Ophiuchi,160332,155125,,2.43,A2V,257.5945,-15.724716666666666,0.039,0.098
Sadachbia,Gamma Aquarii,146044,212061,842,3.84,A0V,335.4142499999999,-1.3872166666666668,0.132,0.007
Sadalbari,Mu Pegasi,90816,216131,862,3.48,G8+III,342.50075,24.601666666666667,0.147,-0.042
Sadalmelik,Alpha Aquarii,145862,209750,827,2.96,G2Ib,331.4457499999999,0.31971666666666665,0.02,-0.01
Sadalsuud,Beta Aquarii,145457,204867,808,2.91,G0Ib,322.88949999999994,-5.571116666666667,0.021,-0.008
Sadr,Gamma Cygni,49528,194093,765,2.2,F8Ib,305.55699999999996,40.25666666666667,0.004,0.0
Saiph,Kappa Orionis,132542,38771,220,2.06,B0.5Ia,86.93924999999999,-9.669716666666666,0.002,-0.002
Sarin,Delta Herculis,84951,156164,641,3.14,A3IV,258.758,24.839166666666667,-0.021,-0.157
Scheat,Beta Pegasi,90981,217906,870,2.42,M2.5II-III,345.94374999999997,28.08278333333333,0.189,0.137
Schedar,Alpha Cassiopeiae,21609,3712,21,2.23,K0IIIa,10.126999999999999,56.537216666666666,0.053,-0.032
Scutulum,Iota Carinae,236808,80404,351,2.25,A8Ib,139.27249999999998,-59.275283333333334,-0.02,0.008
Shaula,Lambda Scorpii,208954,158926,652,1.63,B2IV+B,263.402,-37.103883333333336,-0.001,-0.029
Shelyak,Beta Lyrae,67451,174638,705,3.45,B8IIpe,282.52,33.36278333333333,0.003,-0.003
Sheratan,Beta Arietis,75012,11636,66,2.64,A5V,28.659999999999997,20.80805,0.096,-0.111
Sirius,Alpha Canis Majoris,151881,48915,257,-1.46,A1Vm,101.28699999999999,-16.716116666666668,-0.553,-1.205
Sirrah,Alpha Andromedae,73765,358,1,2.06,B8IVpMnHg,2.097,29.09055,0.136,-0.163
Skat,Delta Aquarii,165375,216627,866,3.27,A3V,343.66249999999997,-15.820833333333333,-0.04,-0.025
Spica,Alpha Virginis,157923,116658,498,0.98,B1III-IV+B2V,201.29824999999997,-11.161383333333333,-0.041,-0.028
Sterope,21 Tauri,76159,23432,,5.76,B8V,56.476749999999996,24.554716666666668,0.011,-0.042
Sualocin,Beta Delphini,106316,196524,,3.63,F5IV,309.38749999999993,14.595283333333333,0.113,-0.033
Sulaphat,Gamma Lyrae,67663,176437,713,3.24,B9III,284.73575,32.68945,-0.002,0.002
Syrma,Iota Virginis,139824,124850,525,4.08,F6III,214.00374999999997,-6.00055,-0.004,-0.432
Talitha Australis,Kappa Ursae Majoris,42661,77327,341,3.6,A1Vn,135.90624999999997,47.156666666666666,-0.033,-0.054
Talitha Borealis,Iota Ursae Majoris,42630,76644,335,3.14,A7IV,134.80175,48.041666666666664,-0.444,-0.226
Tania Australis,Mu Ursae Majoris,43310,89758,386,3.05,M0III,155.582,41.49945,-0.082,0.035
Tania Borealis,Lambda Ursae Majoris,43268,89021,383,3.45,A2IV,154.27425,42.91445,-0.164,-0.038
Tarazed,Gamma Aquilae,105223,186791,741,2.72,K3II,296.565,10.613333333333333,0.018,-0.002
Tarf,Beta Cancri,116569,69267,312,3.52,K4IIIBa0.5,124.12874999999998,9.18555,-0.044,-0.049
Taygeta,19 Tauri,76140,23338,,4.3,B6IV,56.30199999999999,24.467216666666666,0.018,-0.045
Tegmine,Mu Cancri,79959,67228,2630,5.3,G1IVb,121.94074999999998,21.581666666666667,0.022,-0.069
Tejat,Mu Geminorum,78297,44478,241,2.88,M3IIIab,95.73999999999998,22.513616666666667,0.054,-0.111
Thuban,Alpha Draconis,16273,123299,521,3.65,A0III,211.09699999999998,64.37583333333333,-0.055,0.018
